profile,approach,metric,statistic,value,unit,n,comparison_basis
Vegan,GA-Food,Fibra alimentar,mean_daily,53.1788,g/day,1,diet files used by the main submitted tables
Vegan,GA-Food,Fibra alimentar,relative_change_from_base_percent,3.264557,percent,1,same-profile Base mean
Vegan,GA-Meal,Fibra alimentar,mean_daily,57.9272,g/day,1,diet files used by the main submitted tables
Vegan,GA-Meal,Fibra alimentar,relative_change_from_base_percent,12.485176,percent,1,same-profile Base mean
Vegan,LP-Food,Fibra alimentar,mean_daily,72.72159,g/day,1,diet files used by the main submitted tables
Vegan,LP-Food,Fibra alimentar,relative_change_from_base_percent,41.213468,percent,1,same-profile Base mean
Vegan,LP-Meal,Fibra alimentar,mean_daily,47.9354,g/day,1,diet files used by the main submitted tables
Vegan,LP-Meal,Fibra alimentar,relative_change_from_base_percent,-6.917271,percent,1,same-profile Base mean
Vegan,Base,Lipídios,mean_daily,86.411502,g/day,50,diet files used by the main submitted tables
Vegan,GA-Food,Lipídios,mean_daily,74.8552,g/day,1,diet files used by the main submitted tables
Vegan,GA-Food,Lipídios,relative_change_from_base_percent,-13.373569,percent,1,same-profile Base mean
Vegan,GA-Meal,Lipídios,mean_daily,66.4142,g/day,1,diet files used by the main submitted tables
Vegan,GA-Meal,Lipídios,relative_change_from_base_percent,-23.141945,percent,1,same-profile Base mean
Vegan,LP-Food,Lipídios,mean_daily,61.08976,g/day,1,diet files used by the main submitted tables
Vegan,LP-Food,Lipídios,relative_change_from_base_percent,-29.303671,percent,1,same-profile Base mean
Vegan,LP-Meal,Lipídios,mean_daily,66.8744,g/day,1,diet files used by the main submitted tables
Vegan,LP-Meal,Lipídios,relative_change_from_base_percent,-22.609377,percent,1,same-profile Base mean
Vegan,Base,Pegada de Carbono,mean_daily,1668.53256,gCO2eq/day,50,diet files used by the main submitted tables
Vegan,GA-Food,Pegada de Carbono,mean_daily,1229.03,gCO2eq/day,1,diet files used by the main submitted tables
Vegan,GA-Food,Pegada de Carbono,relative_change_from_base_percent,-26.340664,percent,1,same-profile Base mean
Vegan,GA-Meal,Pegada de Carbono,mean_daily,1244.11,gCO2eq/day,1,diet files used by the main submitted tables
Vegan,GA-Meal,Pegada de Carbono,relative_change_from_base_percent,-25.436876,percent,1,same-profile Base mean
Vegan,LP-Food,Pegada de Carbono,mean_daily,112.402,gCO2eq/day,1,diet files used by the main submitted tables
Vegan,LP-Food,Pegada de Carbono,relative_change_from_base_percent,-93.263422,percent,1,same-profile Base mean
Vegan,LP-Meal,Pegada de Carbono,mean_daily,1552.67,gCO2eq/day,1,diet files used by the main submitted tables
Vegan,LP-Meal,Pegada de Carbono,relative_change_from_base_percent,-6.94398,percent,1,same-profile Base mean
Vegan,Base,Proteína,mean_daily,65.098291,g/day,50,diet files used by the main submitted tables
Vegan,GA-Food,Proteína,mean_daily,90.9528,g/day,1,diet files used by the main submitted tables
Vegan,GA-Food,Proteína,relative_change_from_base_percent,39.716111,percent,1,same-profile Base mean
Vegan,GA-Meal,Proteína,mean_daily,75.4097,g/day,1,diet files used by the main submitted tables
Vegan,GA-Meal,Proteína,relative_change_from_base_percent,15.839754,percent,1,same-profile Base mean
Vegan,LP-Food,Proteína,mean_daily,109.95407,g/day,1,diet files used by the main submitted tables
Vegan,LP-Food,Proteína,relative_change_from_base_percent,68.904696,percent,1,same-profile Base mean
Vegan,LP-Meal,Proteína,mean_daily,112.5996,g/day,1,diet files used by the main submitted tables
Vegan,LP-Meal,Proteína,relative_change_from_base_percent,72.968597,percent,1,same-profile Base mean
Vegan,Base,Sódio,mean_daily,1776.525888,mg/day,50,diet files used by the main submitted tables
Vegan,GA-Food,Sódio,mean_daily,2307.7817,mg/day,1,diet files used by the main submitted tables
Vegan,GA-Food,Sódio,relative_change_from_base_percent,29.904198,percent,1,same-profile Base mean
Vegan,GA-Meal,Sódio,mean_daily,2224.5579,mg/day,1,diet files used by the main submitted tables
Vegan,GA-Meal,Sódio,relative_change_from_base_percent,25.21956,percent,1,same-profile Base mean
Vegan,LP-Food,Sódio,mean_daily,876.79334,mg/day,1,diet files used by the main submitted tables
Vegan,LP-Food,Sódio,relative_change_from_base_percent,-50.64562,percent,1,same-profile Base mean
Vegan,LP-Meal,Sódio,mean_daily,2352.7126,mg/day,1,diet files used by the main submitted tables
Vegan,LP-Meal,Sódio,relative_change_from_base_percent,32.433342,percent,1,same-profile Base mean
Vegan,Base,Vitamina C,mean_daily,191.334032,mg/day,50,diet files used by the main submitted tables
Vegan,GA-Food,Vitamina C,mean_daily,233.1492,mg/day,1,diet files used by the main submitted tables
Vegan,GA-Food,Vitamina C,relative_change_from_base_percent,21.854538,percent,1,same-profile Base mean
Vegan,GA-Meal,Vitamina C,mean_daily,248.9058,mg/day,1,diet files used by the main submitted tables
Vegan,GA-Meal,Vitamina C,relative_change_from_base_percent,30.089664,percent,1,same-profile Base mean
Vegan,LP-Food,Vitamina C,mean_daily,89.49352,mg/day,1,diet files used by the main submitted tables
Vegan,LP-Food,Vitamina C,relative_change_from_base_percent,-53.226554,percent,1,same-profile Base mean
Vegan,LP-Meal,Vitamina C,mean_daily,137.9484,mg/day,1,diet files used by the main submitted tables
Vegan,LP-Meal,Vitamina C,relative_change_from_base_percent,-27.901796,percent,1,same-profile Base mean
Vegetarian,Base,Carboidrato disponível,mean_daily,231.010039,g/day,50,diet files used by the main submitted tables
Vegetarian,GA-Food,Carboidrato disponível,mean_daily,261.6146,g/day,1,diet files used by the main submitted tables
Vegetarian,GA-Food,Carboidrato disponível,relative_change_from_base_percent,13.248152,percent,1,same-profile Base mean
Vegetarian,GA-Meal,Carboidrato disponível,mean_daily,260.2555,g/day,1,diet files used by the main submitted tables
Vegetarian,GA-Meal,Carboidrato disponível,relative_change_from_base_percent,12.659822,percent,1,same-profile Base mean
Vegetarian,LP-Food,Carboidrato disponível,mean_daily,240.6334,g/day,1,diet files used by the main submitted tables
