food_original,current_tbca_name,current_tbca_code,occurrence_count,profiles,review_status,candidate_1,candidate_1_code,candidate_1_score,candidate_2,candidate_2_code,candidate_2_score,candidate_3,candidate_3_code,candidate_3_score,candidate_4,candidate_4_code,candidate_4_score,candidate_5,candidate_5_code,candidate_5_score
"Mandioca, s/ casca, cozida, assada, s/ óleo, c/ sal","Mandioca (aipim, macaxeira), s/ casca, cozida, assada, s/ óleo, c/ sal",BRC0361B,10,vegan,PENDING_MANUAL_REVIEW,"Mandioca (aipim, macaxeira), s/ casca, cozida, assada, s/ óleo, s/ sal, Brasil",BRC0360B,0.78972,"Mandioca (aipim, macaxeira), s/ casca, cozida, drenada, s/ óleo, c/ sal",BRC0908B,0.66099,"Mandioca (aipim, macaxeira), s/ casca, cozida, drenada, s/ óleo, s/ sal, Brasil",BRC0053B,0.66099,"Cenoura, s/ casca, cozida, drenada, s/ óleo, c/ sal",BRC0913B,0.65608,"Cenoura, s/ casca, cozida, drenada, s/ óleo, s/ sal, Brasil",BRC0047B,0.65608
"Pimentão, refogado, c/ sal","Legumes refogados, c/ sal",BRC0719B,10,vegan,PENDING_MANUAL_REVIEW,"Pimentão, refogado (c/ óleo, cebola e alho), c/ sal",BRC0482B,0.57155,"Pimentão, refogado (c/ óleo, cebola e alho), s/ sal",BRC0481B,0.57155,"Pimentão, assado, s/ óleo, c/ sal",BRC0474B,0.57111,"Pimentão, assado, s/ óleo, s/ sal, Brasil",BRC0473B,0.57111,"Pimentão, amarelo, assado, s/ óleo c/ sal",BRC0476B,0.54434
"Rúcula, crua","Rúcula, crua, Brasil",BRC0081B,10,regular|vegan|vegetarian,PENDING_MANUAL_REVIEW,"Rúcula, cozida, s/ óleo, c/ sal, Brasil",BRC0952B,0.34821,"Salada, rúcula, s/ óleo, s/ sal",BRC0637B,0.34821,"Salada, rúcula, c/ óleo de soja, c/ sal",BRC0634B,0.29,"Acelga, crua, Brasil",BRC0007B,0.275,"Salada, rúcula, c/ azeite de oliva, c/ sal",BRC0633B,0.27333
"Bebida, café, infusão 8% - médio, s/ açúcar","Bebida, café, infusão 8% - médio, c/ açúcar",BRC0063H,9,vegetarian,PENDING_MANUAL_REVIEW,"Bebida, café, infusão 8% - médio, s/ açúcar, Brasil",BRC0062H,1.0,"Bebida, café, descafeinado, infusão 8% - médio, c/ açúcar",BRC0104H,0.84744,"Bebida, café, descafeinado, infusão 8% - médio, s/ açúcar",BRC0103H,0.84744,"Bebida, café - infusão 8% - média, c/ leite (meio a meio), ""média"", s/ açúcar",BRC0081H,0.74663,"Bebida, café - infusão 8% - média, c/ leite (meio a meio), c/ açúcar",BRC0082H,0.74663
"Caqui, in natura","Pitaia,in natura",BRC0225C,9,vegan,PENDING_MANUAL_REVIEW,"Caqui,  c/ casca,in natura, Brasil",BRC0012C,0.56875,"Abiu,in natura, Brasil",BRC0069C,0.24444,Ameixa de queijo,BRC0213K,0.24444,"Acelga, crua, Brasil",BRC0007B,0.2,"Agrião, cru, Brasil",BRC0008B,0.2
"Carne, boi, acém, moída, refogada (c/ óleo, cebola e alho), c/ sal","Carne, boi, acém moída, cozida, c/ óleo, cebola e alho, s/ sal",BRC0355F,9,regular,PENDING_MANUAL_REVIEW,"Carne, boi, acém moída, cozida, c/ batata, c/ óleo, cebola e alho, c/ sal",BRC0358F,0.81181,"Carne, boi, acém moída, cozida, c/ batata, c/ óleo, cebola e alho, s/ sal",BRC0359F,0.81181,"Carne, boi, fígado, refogada (c/ óleo, cebola e alho), c/ sal",BRC0757F,0.81127,"Carne, boi, fígado, refogada (c/ óleo, cebola e alho), s/ sal",BRC0756F,0.81127,"Carne, boi, língua, refogada, c/ óleo, cebola e alho, c/ sal",BRC0835F,0.81127
"Mandioca, farofa, temperada, c/ sal","Mandioca, farofa, temperada, c/ sal, Brasil",BRC0089B,9,vegan,PENDING_MANUAL_REVIEW,"Jaca, cozida, temperada, c/ sal",BRC0272C,0.55741,"Farofa molhada, c/ sal",BRC1043B,0.53106,"Farofa molhada, s/ sal",BRC1044B,0.53106,"Farofa, couve, c/ sal",BRC0792B,0.47333,"Farofa, couve, s/ sal",BRC0793B,0.47333
"Peixe, água doce, filé, grelhado/assado, s/ óleo, s/ sal (média de 7 espécies)","Peixe, água doce, filé, grelhado/assado, s/ óleo, c/ sal (média de 7 espécies)",BRC0104E,9,regular,PENDING_MANUAL_REVIEW,"Peixe, água doce, filé, grelhado/assado, s/ óleo, s/ sal (média de 7 espécies), Brasil",BRC0105E,1.0,"Peixe, água doce, filé, cozido, s/ óleo, c/ sal (média de 7 espécies)",BRC0103E,0.79718,"Peixe, água doce, filé, cozido, s/ óleo, s/ sal, Brasil (média de 7 espécies)",BRC0102E,0.79718,"Peixe, água doce, filé, frito (c/ óleo de soja), c/ sal (média de 7 espécies)",BRC0107E,0.74206,"Peixe, água doce, filé, frito (c/ óleo de soja), s/ sal (média de 7 espécies)",BRC0106E,0.74206
"Queijo, muçarela (média de diferentes amostras)","Queijo, prato, Brasil (média de diferentes amostras)",BRC0064G,9,regular|vegetarian,PENDING_MANUAL_REVIEW,"Crepe, c/ presunto, c/ queijo muçarela",BRC0438A,0.59167,"Pão, arepa, c/ fubá, c/ queijo muçarela",BRC0928A,0.54667,"Queijo, coalho, Brasil",BRC0048G,0.54286,"Espeto de pão de alho, c/ queijo muçarela",BRC0955A,0.5387,"Tapioca, c/ queijo coalho e muçarela",BRC0841B,0.53106
"Queijo, pasteurizado (média de diferentes amostras)","Queijo, pasteurizado (média de diferentes amostras), Brasil",BRC0062G,9,vegetarian,PENDING_MANUAL_REVIEW,"Queijo, pasteurizado, Brasil",BRC0063G,1.0,"Queijo, prato, Brasil (média de diferentes amostras)",BRC0064G,0.54032,"Queijo, fundido, Brasil",BRC0049G,0.51667,"Queijo, ricota, Brasil",BRC0051G,0.49375,"Queijo, parmesão, ralado, Brasil",BRC0061G,0.48811
