food_original,current_tbca_name,current_tbca_code,occurrence_count,profiles,review_status,candidate_1,candidate_1_code,candidate_1_score,candidate_2,candidate_2_code,candidate_2_score,candidate_3,candidate_3_code,candidate_3_score,candidate_4,candidate_4_code,candidate_4_score,candidate_5,candidate_5_code,candidate_5_score
"Coco, polpa, in natura","Cacau, polpa,in natura, Brasil",BRC0071C,40,vegan,PENDING_MANUAL_REVIEW,"Coco, maduro, polpa,in natura, Brasil",BRC0013C,0.70741,"Açaí, polpa (média de amostras), Brasil",BRC0003C,0.535,"Açaí, polpa, Brasil",BRC0185C,0.535,"Melão, polpa,in natura, Brasil",BRC0028C,0.51667,"Bacuri, polpa,in natura, Brasil",BRC0232C,0.5
"Abacaxi, polpa, in natura","Abacaxi, polpa,in natura, Brasil",BRC0002C,39,regular|vegan|vegetarian,PENDING_MANUAL_REVIEW,"Abacaxi, polpa, congelada, Brasil",BRC0054C,0.69722,"Abacaxi, polpa, desidratada, Brasil",BRC0264C,0.67632,"Açaí, polpa (média de amostras), Brasil",BRC0003C,0.62826,"Açaí, polpa, Brasil",BRC0185C,0.62826,"Abacate, polpa,in natura, Brasil",BRC0001C,0.61538
"Biscoito, doce, maisena","Biscoito, doce, Maria, Brasil",BRC0028A,39,regular|vegetarian,PENDING_MANUAL_REVIEW,"Biscoito, doce, maisena (amido de milho), Brasil",BRC0200A,0.69778,"Biscoito, doce, amanteigado, Brasil",BRC0039A,0.65543,"Biscoito, doce, simples (média de diferentes tipos), Brasil",BRC0027A,0.64405,"Biscoito, doce, wafer (média de diferentes sabores), Brasil",BRC0049A,0.56958,"Biscoito, doce, amanteigado, coco, Brasil",BRC0033A,0.56824
Cream cheese (média de diferentes sabores),"Cream cheese, Brasil (média de diferentes sabores)",BRC0006G,39,regular|vegetarian,PENDING_MANUAL_REVIEW,"Cream cheese, light, Brasil",BRC0035N,0.60132,"Cream cheese, tradicional, Brasil",BRC0009G,0.6,"Cream cheese, com ervas finas, Brasil",BRC0007G,0.58,"Pão francês, c/ cream cheese",BRC0470A,0.48,"Patê (média de diferentes sabores), Brasil",BRC0032D,0.45625
"Iogurte, integral (média de diferentes sabores)","Iogurte, integral (média de diferentes sabores), Brasil",BRC0011G,39,regular|vegetarian,PENDING_MANUAL_REVIEW,"Iogurte, integral, ameixa, Brasil",BRC0012G,0.66968,"Iogurte, integral, coco, Brasil",BRC0013G,0.665,"Iogurte, integral, maçã, Brasil",BRC0014G,0.665,"Iogurte, integral, morango, Brasil",BRC0017G,0.66042,"Iogurte, integral, pêssego, Brasil",BRC0019G,0.66042
"Queijo, requeijão (média de diferentes amostras)","Queijo, requeijão (média de diferentes amostras), Brasil",BRC0066G,37,regular|vegetarian,PENDING_MANUAL_REVIEW,"Queijo, requeijão, Brasil",BRC0067G,1.0,"Queijo, requeijão, Brasil",BRC0068G,1.0,"Queijo, requeijão, light, Brasil",BRC0040N,0.76316,"Queijo, requeijão, c/ queijo cheddar, Brasil",BRC0137G,0.67447,"Queijo, requeijão, zero % gordura, Brasil",BRC0041N,0.61611
"Bebida, chá, preto, infusão 5%, s/ açúcar","Bebida, chá, preto, infusão 5%, c/ açúcar",BRC0049H,34,regular|vegan|vegetarian,PENDING_MANUAL_REVIEW,"Bebida, chá, preto, infusão 5%, s/ açúcar, Brasil",BRC0013H,1.0,"Bebida, chá, mate, infusão 5%, c/ açúcar",BRC0055H,0.8122,"Bebida, chá, mate, infusão 5%, s/ açúcar, Brasil",BRC0011H,0.8122,"Bebida, chá, erva-doce, infusão 5%, c/ açúcar",BRC0053H,0.75268,"Bebida, chá, erva-doce, infusão 5%, s/ açúcar",BRC0021H,0.75268
"Queijo, ricota","Queijo, ricota, Brasil",BRC0051G,34,regular|vegetarian,PENDING_MANUAL_REVIEW,"Queijo, ricota, light, Brasil",BRC0075N,0.74687,"Queijo, coalho, Brasil",BRC0048G,0.57308,"Queijo, prato, Brasil (média de diferentes amostras)",BRC0064G,0.546,"Queijo, tilsit",BRC0071G,0.53077,"Queijo, requeijão (média de diferentes amostras), Brasil",BRC0066G,0.52931
"Salada, folhas e vegetais, c/ óleo de soja e c/ sal","Salada, folhas e vegetais, c/ óleo de soja, c/ sal",BRC0404B,33,regular|vegan|vegetarian,PENDING_MANUAL_REVIEW,"Salada, folhas e vegetais, c/ óleo de soja, s/ sal",BRC0405B,0.9859,"Salada, folhas e vegetais, s/ óleo e s/ sal",BRC0453B,0.89905,"Salada, vegetais crus, c/ óleo de soja, c/ sal",BRC0617B,0.78375,"Salada, vegetais crus, c/ óleo de soja, c/ sal",BRC0408B,0.78375,"Salada, vegetais crus, c/ óleo de soja, c/ sal",BRC0426B,0.78375
"Soja, grão, cozido, drenado, c/ sal","Soja, grão, cozido, drenado, s/ óleo, c/ sal",BRC0148T,33,vegan|vegetarian,PENDING_MANUAL_REVIEW,"Soja, grão, cozido, drenado, s/ óleo, s/ sal, Brasil",BRC0147T,0.87992,"Soja, grão, cozido, drenado, c/ azeite de oliva, c/ sal",BRC0212T,0.76781,"Soja, grão, cozido, drenado, c/ azeite de oliva, s/ sal",BRC0213T,0.76781,"Milho, verde, grão, cozido, drenado, c/ sal, Brasil",BRC0177A,0.69365,"Milho, verde, grão, cozido, drenado, s/ sal, Brasil",BRC0176A,0.69365
"Couve, crua","Couve-flor, crua, Brasil",BRC0024B,32,regular|vegan|vegetarian,PENDING_MANUAL_REVIEW,"Couve, manteiga, crua, Brasil",BRC0023B,0.51447,"Farofa, couve, c/ sal",BRC0792B,0.4119,"Farofa, couve, s/ sal",BRC0793B,0.4119,"Salada, couve crua, s/ óleo, s/ sal",BRC0521B,0.32404,"Arroz com couve, c/ arroz polido, c/ sal",BRC0549A,0.27917
Feijoada vegetariana,"Feijoada vegetariana, c/ sal, Brasil",BRC0172T,32,vegan,PENDING_MANUAL_REVIEW,"Feijoada, c/ sal",BRC0198T,0.49375,"Feijoada, s/ sal",BRC0064T,0.49375,"Pizza, vegetariana, caseira",BRC0687A,0.45472,Feijoada de frutos do mar,BRC0364E,0.45096,"Lasanha, vegetariana, light, caseira",BRC0089N,0.38057
"Tomate, molho, industrializado","Tomate, molho, industrializado, Brasil",BRC0100B,32,regular|vegan|vegetarian,PENDING_MANUAL_REVIEW,"Tomate, purê, industrializado, Brasil",BRC0099B,0.685,"Tomate, extrato, industrializado, Brasil",BRC0098B,0.68017,"Maionese, molho, c/ ovos, industrializado, Brasil",BRC0031D,0.61651,"Coco, leite, industrializado, Brasil",BRC0175C,0.47704,"Pão, de queijo, industrializado, cru, Brasil",BRC0094B,0.47704
"Leite, vaca, semidesnatado, UHT","Leite, vaca, semidesnatado, UHT, Brasil",BRC0046G,31,regular|vegetarian,PENDING_MANUAL_REVIEW,"Leite, vaca, desnatado, UHT, Brasil",BRC0070G,0.77769,"Leite, vaca, integral, UHT (média de diferentes amostras), Brasil",BRC0044G,0.63667,"Leite, vaca, fluído, s/ lactose, semidesnatado",BRC0139N,0.61903,"Leite, vaca, fermentado, Brasil",BRC0031G,0.60653,"Leite, vaca, desnatado, em pó, Brasil",BRC0038G,0.60294
"Queijo, minas, padrão (média de diferentes amostras)","Queijo, minas, padrão (média de diferentes amostras), Brasil",BRC0056G,31,regular|vegetarian,PENDING_MANUAL_REVIEW,"Queijo, minas, padrão, Brasil",BRC0058G,1.0,"Queijo, minas, padrão, light, Brasil",BRC0039N,0.8125,"Queijo, minas, tipo parmesão, Brasil",BRC0060G,0.72,"Queijo, minas, padrão, zero % gordura, Brasil",BRC0038N,0.6798,"Queijo, Minas, frescal, Brasil",BRC0052G,0.61987
"Iogurte, frutas, diet","Torta de frutas, light",BRC0079N,30,regular|vegetarian,PENDING_MANUAL_REVIEW,"Iogurte, frutas, dietético (dado importado)",BRC0073N,0.51034,"Iogurte, integral, salada de frutas, Brasil",BRC0016G,0.49429,"Iogurte, grego, integral, c/ frutas (dado importado)",BRC0134G,0.44286,"Iogurte, natural (média de diferentes amostras), Brasil",BRC0020G,0.43603,"Iogurte, natural, Brasil",BRC0021G,0.43603
"Kiwi, in natura","Pitaia,in natura",BRC0225C,30,regular|vegan|vegetarian,PENDING_MANUAL_REVIEW,"Kiwi (quiuí),in natura, Brasil",BRC0061C,0.53929,"Creme de kiwi, c/ morango, iogurte integral, s/ açúcar",BRC0418N,0.17065,"Abiu,in natura, Brasil",BRC0069C,0.1375,Ameixa de queijo,BRC0213K,0.12941,"Agrião, cru, Brasil",BRC0008B,0.11
"Queijo, parmesão, ralado","Queijo, parmesão, ralado, Brasil",BRC0061G,30,vegetarian,PENDING_MANUAL_REVIEW,"Queijo, minas, tipo parmesão, Brasil",BRC0060G,0.60872,"Purê, batata, c/ queijo parmesão, c/ sal",BRC1034B,0.52358,"Purê, batata, c/ queijo parmesão, s/ sal",BRC1035B,0.52358,"Queijo, prato, Brasil (média de diferentes amostras)",BRC0064G,0.46838,"Pão, arepa, c/ fubá, c/ queijo parmesão",BRC0926A,0.46731
"Torrada, trigo, integral","Torrada, trigo, integral, c/ geleia",BRC0485A,30,regular|vegan|vegetarian,PENDING_MANUAL_REVIEW,"Torrada, trigo, integral, c/ manteiga",BRC0483A,0.7941,"Torrada, trigo, integral, c/ margarina",BRC0479A,0.78565,"Torrada, trigo, integral, c/ requeijão",BRC0481A,0.78565,"Torrada, trigo, integral, c/ cream cheese",BRC0487A,0.69456,"Macarrão, trigo, integral, cru, Brasil",BRC0228A,0.665
"Pistache, cru, s/ sal","Pistache, cru, s/ sal (dado importado)",BRC0015U,29,vegan|vegetarian,PENDING_MANUAL_REVIEW,"Tabule, c/ sal",BRC0961B,0.5,"Tabule, s/ sal",BRC0135B,0.5,"Tacacá, c/ sal",BRC0957B,0.5,"Tacacá, s/ sal",BRC0136B,0.5,"Acarajé, c/ sal",BRC0203T,0.48478
"Pão, de queijo, industrializado, assado","Pão, de queijo, industrializado, assado, Brasil",BRC0123B,29,regular|vegetarian,PENDING_MANUAL_REVIEW,"Pão, de queijo, industrializado, cru, Brasil",BRC0094B,0.82225,"Pão, de queijo, industrializado, massa congelada, crua, Brasil",BRC0124B,0.69433,"Pão de queijo, mistura p/, Brasil",BRC0045R,0.50283,"Pão de queijo, mistura p/, Brasil",BRC0080R,0.50283,"Pão de queijo, mistura p/, Brasil",BRC0081R,0.50283
"Manteiga, c/ sal","Manteiga, c/ sal, Brasil",BRC0007D,28,regular|vegetarian,PENDING_MANUAL_REVIEW,"Manteiga, s/ sal, Brasil",BRC0006D,1.0,"Tapioca, c/ manteiga, c/ sal",BRC0137B,0.7125,"Manteiga (média várias amostras, c/ e s/ sal), Brasil",BRC0004D,0.625,"Manteiga e margarina, c/ sal, Brasil",BRC0014D,0.59167,"Manteiga e margarina, s/ sal, Brasil",BRC0015D,0.59167
"Melancia, polpa, in natura","Melancia, polpa,in natura, Brasil",BRC0027C,28,regular|vegan|vegetarian,PENDING_MANUAL_REVIEW,"Melão, polpa,in natura, Brasil",BRC0028C,0.59,"Açaí, polpa (média de amostras), Brasil",BRC0003C,0.5625,"Açaí, polpa, Brasil",BRC0185C,0.5625,"Cacau, polpa,in natura, Brasil",BRC0071C,0.546,"Bacuri, polpa,in natura, Brasil",BRC0232C,0.53077
"Uva, in natura","Uva,in natura, Brasil",BRC0033C,28,regular|vegan|vegetarian,PENDING_MANUAL_REVIEW,"Uva, Rubi,in natura, Brasil",BRC0035C,0.525,"Geleia, uva, Brasil",BRC0022K,0.47885,"Mousse, uva",BRC0149K,0.47885,"Uva, var. Itália,in natura, Brasil",BRC0034C,0.34412,"Gelatina, uva, em pó, Brasil",BRC0029R,0.33333
"Avelã , crua, s/ sal","Acarajé, s/ sal",BRC0061T,27,vegan,PENDING_MANUAL_REVIEW,"Panelada, c/ sal",BRC0971F,0.56905,"Panelada, s/ sal",BRC0972F,0.56905,"Amêndoa, crua, s/ sal, Brasil",BRC0011U,0.535,"Avelã , crua, s/ sal (dado importado)",BRC0013U,0.525,"Barreado, c/ sal",BRC0922F,0.51667
